rank,game_name,price,rank_change,weeks_on_chart,game_url
1,WARDOGS,"¥4,980",▲ 6,4,https://store.steampowered.com/app/1867240/WARDOGS?snr=1_7001_topselling_
2,Counter-Strike 2,Free To Play,0,735,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_7001_topselling_
3,Marvel Rivals,Free To Play,▲ 3,92,https://store.steampowered.com/app/2767030/Marvel_Rivals?snr=1_7001_topselling_
4,Halloween: The Game,"¥5,100",▲ 23,2,https://store.steampowered.com/app/3219630/Halloween_The_Game?snr=1_7001_topselling_
5,Borderlands 4,"-54% ¥10,067 ¥4,598",New,1,https://store.steampowered.com/app/1285190/Borderlands_4?snr=1_7001_topselling_
6,Overwatch®,Free To Play,▲ 16,35,https://store.steampowered.com/app/2357570/Overwatch?snr=1_7001_topselling_
7,The Blood of Dawnwalker,"¥9,790",▲ 9,3,https://store.steampowered.com/app/3751260/The_Blood_of_Dawnwalker?snr=1_7001_topselling_
8,Bodycam,"¥3,900",▲ 4,3,https://store.steampowered.com/app/2406770/Bodycam?snr=1_7001_topselling_
9,Apex Legends™,Free To Play,▲ 4,305,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_7001_topselling_
10,How to Fish,¥880,▼ 7,3,https://store.steampowered.com/app/4001890/How_to_Fish?snr=1_7001_topselling_
11,Valheim,"¥3,400",New,1,https://store.steampowered.com/app/892970/Valheim?snr=1_7001_topselling_
12,Diablo® IV,"-75% ¥6,700 ¥1,675",New,1,https://store.steampowered.com/app/2344520/Diablo_IV?snr=1_7001_topselling_
13,No Man's Sky,"-60% ¥6,500 ¥2,600",New,1,https://store.steampowered.com/app/275850/No_Mans_Sky?snr=1_7001_topselling_
14,Onimusha: Way of the Sword,"¥8,990",▲ 28,2,https://store.steampowered.com/app/2638890/Onimusha_Way_of_the_Sword?snr=1_7001_topselling_
15,HELLDIVERS™ 2,"¥4,480",▼ 7,139,https://store.steampowered.com/app/553850/HELLDIVERS_2?snr=1_7001_topselling_
16,Warframe,Free To Play,▲ 5,702,https://store.steampowered.com/app/230410/Warframe?snr=1_7001_topselling_
17,NBA 2K27,"¥9,460",▼ 13,3,https://store.steampowered.com/app/4356430/NBA_2K27?snr=1_7001_topselling_
18,Tom Clancy's Rainbow Six Siege,Free To Play,▲ 8,40,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege?snr=1_7001_topselling_
19,STAR WARS Zero Company™,"¥6,900",▼ 18,4,https://store.steampowered.com/app/2075800/STAR_WARS_Zero_Company?snr=1_7001_topselling_
20,Wuthering Waves,Free To Play,▲ 18,23,https://store.steampowered.com/app/3513350/Wuthering_Waves?snr=1_7001_topselling_
21,Once Human,Free To Play,▲ 9,9,https://store.steampowered.com/app/2139460/Once_Human?snr=1_7001_topselling_
22,FINAL FANTASY XIV Online,"¥2,420",▲ 14,40,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online?snr=1_7001_topselling_
23,Dead by Daylight,"¥2,499",▼ 14,487,https://store.steampowered.com/app/381210/Dead_by_Daylight?snr=1_7001_topselling_
24,Call of Duty®: Black Ops III,"-75% ¥8,990 ¥2,247",▲ 75,11,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III?snr=1_7001_topselling_
25,Ready or Not,"-50% ¥7,150 ¥3,575",▲ 66,11,https://store.steampowered.com/app/1144200/Ready_or_Not?snr=1_7001_topselling_
26,Grand Theft Auto V Enhanced,"-50% ¥4,380 ¥2,190",▲ 3,61,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced?snr=1_7001_topselling_
27,MapleStory (not available in your region),,▲ 35,36,https://store.steampowered.com/app/216150/MapleStory?snr=1_7001_topselling_
28,ELDEN RING,"¥9,020",▼ 14,48,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_7001_topselling_
29,Drag'n Wash (hidden by your preferences),"-10% ¥1,900 ¥1,710",New,1,https://store.steampowered.com/app/4739660/Dragn_Wash?snr=1_7001_topselling_
30,Rust,"-50% ¥4,600 ¥2,300",▲ 15,585,https://store.steampowered.com/app/252490/Rust?snr=1_7001_topselling_
31,War Thunder (not available in your region),,▲ 1,480,https://store.steampowered.com/app/236390/War_Thunder?snr=1_7001_topselling_
32,PUBG: BATTLEGROUNDS,Free To Play,New,1,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_7001_topselling_
33,"Warhammer 40,000: Space Marine 2","-75% ¥9,800 ¥2,450",New,1,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2?snr=1_7001_topselling_
34,Path of Exile 2,"¥4,642",▲ 48,18,https://store.steampowered.com/app/2694490/Path_of_Exile_2?snr=1_7001_topselling_
35,Welcome to Elderfield,"-10% ¥2,250 ¥2,025",New,1,https://store.steampowered.com/app/3195440/Welcome_to_Elderfield?snr=1_7001_topselling_
36,Big Walk,"¥2,300",▼ 17,5,https://store.steampowered.com/app/1478500/Big_Walk?snr=1_7001_topselling_
37,EA SPORTS™ Madden NFL 27,"¥9,800",▼ 4,5,https://store.steampowered.com/app/3940610/EA_SPORTS_Madden_NFL_27?snr=1_7001_topselling_
38,EA SPORTS™ College Football 27,"¥9,800",▲ 23,10,https://store.steampowered.com/app/4032350/EA_SPORTS_College_Football_27?snr=1_7001_topselling_
39,Monster Hunter Wilds,"-25% ¥4,990 ¥3,742",New,1,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds?snr=1_7001_topselling_
40,Magic: The Gathering Arena,Free To Play,▲ 4,24,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena?snr=1_7001_topselling_
41,RuneScape: Dragonwilds,"¥3,400",New,1,https://store.steampowered.com/app/1374490/RuneScape_Dragonwilds?snr=1_7001_topselling_
42,Baldur's Gate 3,"¥8,499",▲ 6,195,https://store.steampowered.com/app/1086940/Baldurs_Gate_3?snr=1_7001_topselling_
43,Resident Evil Requiem,"-30% ¥8,990 ¥6,293",New,1,https://store.steampowered.com/app/3764200/Resident_Evil_Requiem?snr=1_7001_topselling_
44,VRChat,Free To Play,▲ 6,37,https://store.steampowered.com/app/438100/VRChat?snr=1_7001_topselling_
45,Dota 2,Free To Play,▼ 4,11,https://store.steampowered.com/app/570/Dota_2?snr=1_7001_topselling_
46,Palworld,"¥3,400",▼ 26,11,https://store.steampowered.com/app/1623730/Palworld?snr=1_7001_topselling_
47,007 First Light,"-20% ¥8,910 ¥7,128",New,1,https://store.steampowered.com/app/3768760/007_First_Light?snr=1_7001_topselling_
48,BOMBANANA!,"¥1,050",New,1,https://store.steampowered.com/app/4656000/BOMBANANA?snr=1_7001_topselling_
49,Wanderburg,"-35% ¥1,500 ¥975",New,1,https://store.steampowered.com/app/3624140/Wanderburg?snr=1_7001_topselling_
50,No More Room in Hell 2,"¥3,400",▼ 35,4,https://store.steampowered.com/app/292000/No_More_Room_in_Hell_2?snr=1_7001_topselling_
51,Gamble With Your Friends,-38% ¥920 ¥570,▲ 23,3,https://store.steampowered.com/app/3892270/Gamble_With_Your_Friends?snr=1_7001_topselling_
52,Escape from Tarkov,"¥7,500",▼ 12,16,https://store.steampowered.com/app/3932890/Escape_from_Tarkov?snr=1_7001_topselling_
53,Anime Shop Simulator ✨,"-15% ¥1,800 ¥1,530",New,1,https://store.steampowered.com/app/3393280/Anime_Shop_Simulator?snr=1_7001_topselling_
54,PRAGMATA,"-20% ¥7,990 ¥6,392",New,1,https://store.steampowered.com/app/3357650/PRAGMATA?snr=1_7001_topselling_
55,Where Winds Meet,Free To Play,▲ 9,43,https://store.steampowered.com/app/3564740/Where_Winds_Meet?snr=1_7001_topselling_
56,Destiny 2,Free To Play,▲ 22,24,https://store.steampowered.com/app/1085660/Destiny_2?snr=1_7001_topselling_
57,Forza Horizon 6,"¥9,800",▼ 29,24,https://store.steampowered.com/app/2483190/Forza_Horizon_6?snr=1_7001_topselling_
58,Shroom and Gloom,"¥1,900",New,1,https://store.steampowered.com/app/3271280/Shroom_and_Gloom?snr=1_7001_topselling_
59,ACE COMBAT 8: WINGS OF THEVE,"¥9,790",New,1,https://store.steampowered.com/app/2288340/ACE_COMBAT_8_WINGS_OF_THEVE?snr=1_7001_topselling_
60,Project Zomboid,"¥3,150",▼ 25,6,https://store.steampowered.com/app/108600/Project_Zomboid?snr=1_7001_topselling_
61,Call of Duty®: Black Ops II,"-50% ¥5,900 ¥2,950",New,1,https://store.steampowered.com/app/202970/Call_of_Duty_Black_Ops_II?snr=1_7001_topselling_
62,Slay the Spire 2,"¥2,800",▲ 8,27,https://store.steampowered.com/app/2868840/Slay_the_Spire_2?snr=1_7001_topselling_
63,Total War: WARHAMMER III,"¥7,000",▼ 10,4,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III?snr=1_7001_topselling_
64,Team Fortress 2,Free To Play,▲ 7,9,https://store.steampowered.com/app/440/Team_Fortress_2?snr=1_7001_topselling_
65,inZOI,"-20% ¥4,480 ¥3,584",New,1,https://store.steampowered.com/app/2456740/inZOI?snr=1_7001_topselling_
66,Fallout 76,"¥4,800",▼ 6,335,https://store.steampowered.com/app/1151340/Fallout_76?snr=1_7001_topselling_
67,The Elder Scrolls® Online,"¥2,246",▼ 11,607,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online?snr=1_7001_topselling_
68,CONTROL Resonant,"¥7,990",New,1,https://store.steampowered.com/app/3669870/CONTROL_Resonant?snr=1_7001_topselling_
69,Sid Meier's Civilization VII,"-50% ¥8,800 ¥4,400",New,1,https://store.steampowered.com/app/1295660/Sid_Meiers_Civilization_VII?snr=1_7001_topselling_
70,The Isle,"¥2,300",New,1,https://store.steampowered.com/app/376210/The_Isle?snr=1_7001_topselling_
71,Crimson Desert Enhanced,"¥9,680",▼ 60,3,https://store.steampowered.com/app/3321460/Crimson_Desert_Enhanced?snr=1_7001_topselling_
72,Sniper Elite: Resistance,"-60% ¥5,500 ¥2,200",New,1,https://store.steampowered.com/app/2169200/Sniper_Elite_Resistance?snr=1_7001_topselling_
